#漢字	台羅	方音	白話字	語域	次數	權重	佐證	腔別	例源
屯	suann1	ㄙㄨㆩ	soaⁿ	語	1	1			16:屯(台甘)
山	suann1	ㄙㄢ/ㄙㄨㆩ	soaⁿ	白/語	489	579	iT,教,日,植,比,甘,線	中漳,北泉,南混,峽泉,澎泉,竹泉,蘭漳,金泉,高混,鹿泉	01: 跋涉;01:日薄西山;01:陂
山	san1	ㄙㄢ	san	文	69	185	iT,教,日,植,比,甘,甘文,線,諺	中漳,北泉,南混,峽泉,竹泉,蘭漳,高混,鹿泉	01:梁山泊;01:日薄西山;01:旁
山	sian1	ㄒㄧㄢ	sian	白	5	53	iT,日,甘,線		14:朹子·;16:山查;16:山楂
山	sua1	ㄙㄨㄚ	soa		1	1			03:摸不著
屹	git4	ㆣㄧㆵ/ㆣㄨㆵ	git		4	12	甘		16:峙;24:屹(台甘);24:屹
屹	gut4	ㆣㄨㆵ	gut		2	10	甘		24:屹(台甘);24:屹
屹	git8	ㆣㄧㆵ ͘	gi̍t		3	3			09:屹(台甘);09:屹(普閩);24:屹(普閩)
屹	i2	ㄧˋ	í		2	2			09:屹(普閩);10:巋然
屹	gut8	ㆣㄨㆵ ͘	gu̍t		1	1			09:屹(台甘)
屺	ki2	ㄍㄧˋ	kí		1	9	甘		14:屺(台甘)
岈	ga5	ㆣㄚˊ	gâ		1	1			17:嵖岈
岈	ha1	ㄏㄚ	ha		1	1			24:岈(普閩)
岌	gip8	ㆣㄧㆴ ͘	gi̍p		2	26	甘,線		13:岌(台甘);13:岌(普閩)
岌	kip4	ㄍㄧㆴ	kip		1	9	甘		13:岌(台甘)
岍	khian1	ㄎㄧㄢ	khian		1	9	甘		14:岍(台甘)
岐	ki5	ㄍㄧˊ	kî		4	44	iT,日,甘,甘文		14:岐(台甘);14:岐(普閩);14:岐
岐	tshi5	ㄑㄧˊ	chhî		1	1			13:峧
岑	gim5	ㆣㄧㆬˊ	gîm		4	28	甘,線		05:磴兒;09:陔;21:岑(台甘)
岑	tsim1	ㄐㄧㆬ	chim		1	1			21:岑(普閩)
岑	tshim5	ㄑㄧㆬˊ	chhîm		1	1			21:岑(普閩)
岒	gim5	ㆣㄧㆬˊ	gîm		2	2			24:一級;24:一層
岔	tshe1	ㄘㆤ	chhe	白	3	19	線		05:道岔;17:岔(普閩)
岔	tsha1	ㄘㄚ/ㄘㆤ	chha	文	6	14	甘		05:道岔;17:岔(台甘);17:岔(普閩)
岔	pun7	ㄅㄨㄣ˫	pūn		1	1			21:倉
岙	au2	ㄠˋ	áu		1	1			23: 坳
岜	pa1	ㄅㄚ	pa		1	1			01:岜(普閩)
岝	tsik4	ㄐㄧㆤㆶ	chek	文	3	11	甘		20:岝(台甘);20:岝(普閩);20:岝山
岝	thik8	ㄊㄧㆤㆶ ͘	the̍k		1	9	甘		20:岝(台甘)
岝	tsok8	ㄗㆦㆶ ͘	cho̍k	文	1	1			20:岝(普閩)
岝	tsoh8	ㄗㄜㆷ ͘	cho̍h	白	1	1			20:岝(普閩)
岝	tso7	ㄗㄜ˫	chō	白	1	1			20:岝(普閩)
岡	kong1	ㄍㆲ	kong	文	3	77	iT,教,日,甘,甘文,線		09:岡/崗(台甘);09:岡/崗(普閩);19:仞
岡	kng1	ㄍㆭ	kng	語	1	27	教,甘		09:岡/崗(台甘)
岡	kang1	ㄍㄤ	kang		4	4			08:丘隴;09:岡;24:映
岢	kho2	ㄎㄜˋ	khó		2	10	甘		10:岢(台甘);10:岢(普閩)
岣	koo2	ㄍㆦˋ	kó͘		3	11	甘		09:岣(台甘);09:岣(普閩);09:岣嶁
岣	ku7	ㄍㄨ˫	kū		1	9	甘		09:岣(台甘)
岧	tiau5	ㄉㄧㄠˊ	tiâu		1	9	甘		06:岧/�(台甘)
岩	gam5	ㆣㄧㆰˊ/ㆣㆰˊ	gâm	文	11	85	iT,教,日,甘,甘文,線		03:毛;08:嶙峋;10:礦
岩	giam5	ㆣㄧㆰˊ	giâm	白	9	65	iT,教,甘,線		06:統;10:喀斯特;10:礦
岩	na5	ㄋㄚˊ	nâ		2	10	甘		24:岩(台甘)
岩	ling5	ㄌㄧㄥˊ	lêng		1	1			24:岩(台甘)
岩	nga5	ㄫㄚˊ	ngâ	白	1	1			24:岩(普閩)
岫	siu7	ㄒㄧㄨ˫	siū		9	115	700,iT,教,日,比,甘,線	中漳,北泉,南混,峽泉,澎泉,竹泉,蘭漳,高混,鹿泉	10:窠;13:雞窩;13:繼
岬	kap4	ㄍㄚㆴ	kap	文	4	12	甘		13:岬(台甘);13:岬(普閩);13:岬
岬	kah4	ㄍㄚㆷ	kah	白	1	1			13:岬(普閩)
岭	nia7	ㄋㄧㄚ˫	niā		4	38	日,甘,線		08:嶺;13:脊;13:劍
岱	tai7	ㄉㄞ˫	tāi		3	25	iT,甘		05:岱(台甘);05:岱(普閩);05:岱宗
岳	gak8	ㆣㄚㆶ ͘	ga̍k		10	62	教,日,甘,線		04:岳父;04:賦閑(/閒);05:悼亡
岸	huann7	ㄏㄨㆩ˫	hōaⁿ	白/語	109	193	iT,教,日,比,甘,線	中漳,北泉,金泉	01:泊船;01:泊岸;01:停泊
岸	gan7	ㄏㄨㆩ˫/ㆣㄢ˫	gān	文	4	78	iT,教,日,甘,甘文,線		04:防;05:埭;23:岸(台甘)
峂	tong5	ㄉㆲˊ	tông		1	1			06:峂(普閩)
峂	pong1	ㄅㆲ	pong		1	1			06:峂(普閩)
峇	ba7	ㆠㄚ˫	bā		10	88	700,iT,教,甘,線		01:峇(台甘);14:親;14:親密
峇	ba5	ㆠㄚˊ	bâ		3	51	iT,教,線		01:峇(普閩);01:峇峇;01:峇里
峇	khap4	ㄎㄚㆴ	khap		1	9	甘		01:峇(台甘)
峇	ba1	ㆠㄚ	ba		1	1			01:峇峇
峋	sun5	ㄙㄨㄣˊ	sûn		2	10	甘		15:峋(台甘);15:峋(普閩)
峒	tong5	ㄉㆲˊ	tông		4	12	甘		05:峒(台甘);05:峒;06:峒(台甘)
峒	tong7	ㄉㆲ˫	tōng		3	3			05:峒(台甘);05:峒(普閩);06:峒(台甘)
峒	pong7	ㄅㆲ˫	pōng		1	1			06:峒(台甘)
峙	si7	ㄒㄧ˫	sī		3	21	日,甘		16:峙(台甘);16:峙(普閩);18:峙(台甘)
峙	ti7	ㄉㄧ˫	tī		2	2			16:峙(普閩);18:峙(普閩)
峧	kau1	ㄍㄠ	kau		1	1			13:峧(普閩)
峨	ngoo5	ㄫㆦˊ	ngô͘		2	28	教,甘		03:嵋;23:峨(台甘)
峨	go5	ㆣㄜˊ	gô		4	12	甘		23:峨(台甘);23:峨(普閩);23:峨眉
峨	o5	ㄜˊ	ô		1	1			03:嵋
峪	iok8	ㄧㆦㆶ ͘	io̍k		2	10	甘		26:峪(台甘);26:峪(普閩)
峭	tshio3	ㄑㄧㄜ˪	chhiò	白	1	17	線		14:峭(普閩)
峭	siau3	ㄒㄧㄠ˪	siàu		2	10	甘		08:崚嶒;14:峭(台甘)
峭	tshiau3	ㄑㄧㄠ˪	chhiàu	文	3	3			14:峭(普閩);14:峭寒;14:峭直
峭	tshiau2	ㄑㄧㄠˋ	chhiáu		1	1			14:俏
峰	hong1	ㄏㆲ	hong	文	14	74	教,日,甘,甘文,線		04:峰(台甘);04:峰(普閩);04:冷峰
峰	hang1	ㄏㄤ	hang		1	9	甘		04:峰(台甘)
峰	phang1	ㄆㄤ	phang	白	1	1			04:峰(普閩)
峱	lo5	ㄌㄜˊ	lô		1	9	甘		07:峱(台甘)
峱	noo5	ㄋㆦˊ	nô͘		1	1			07:峱(普閩)
島	to2	ㄉㄜˋ	tó		23	107	iT,共,教,日,甘,線		05:島(台甘);05:島(普閩);05:島
峻	tsun3	ㄗㄨㄣ˪	chùn		8	74	iT,教,日,甘,線		13:峻(台甘);13:峻(普閩);13:峻
峻	tsun2	ㄗㄨㄣˋ	chún		2	2			08:崚嶒;14:嶠
峻	tsun1	ㄗㄨㄣ	chun		2	2			13:峻;24:巘巘
峽	kiap4	ㄍㄧㄚㆴ	kiap		3	55	教,日,甘,線		02:澎湖;14:瞿塘峽;24:灩
峽	sia5	ㄒㄧㄚˊ	siâ		1	1			18:陝
崁	kham3	ㄎㆰ˪	khàm		6	104	700,iT,教,日,比,線	中漳,北泉,南混,峽泉,澎泉,竹泉,蘭漳,高混,鹿泉	10:坎子·;10:赤嵌樓;10:赤嵌/崁樓
崁	kham1	ㄎㆰ	kham		2	2			08:嶙峋
崆	khong1	ㄎㆲ	khong		2	10	甘		10:崆(台甘);10:崆(普閩)
崇	tsong5	ㄗㆲˊ	chông		12	64	教,日,甘,線		04:崇奉;09:貴;13:信教
崇	tsiong5	ㄐㄧㆲˊ	chiông		3	3			17:崇(普閩)
崍	lai5	ㄌㄞˊ	lâi		2	10	甘		08:崍(台甘);08:崍(普閩)
崎	kia7	ㄍㄧㄚ˫	kiā		32	122	iT,教,日,植,比,甘,線	中漳,北泉,南混,峽泉,澎泉,竹泉,蘭漳,金泉,高混,鹿泉	01:背兒;01:坂;02:坡
崎	khi1	ㄎㄧ	khi		3	29	日,甘,甘文		14:崎(台甘);14:崎嶇
崎	ki5	ㄍㄧˊ	kî	文	5	23	日,甘		14:崎(台甘);14:崎(普閩);14:長崎
崎	kia5	ㄍㄧㄚˊ	kiâ	白	8	8			05:陡;06:臺階(兒);08:溜
崎	tshi5	ㄑㄧˊ	chhî	白	2	2			14:崎(普閩);14:崎嶇
崑	khun1	ㄎㄨㄣ	khun		6	40	日,甘,線		08:崑崙;10:崑/�(台甘);10:崑/�(普閩)
崔	tshui1	ㄘㄨㄧ	chhui		3	55	教,日,甘,線		08:勒;21:崔(台甘);21:崔(普閩)
崖	gai5	ㆣㄞˊ	gâi		13	87	iT,教,比,甘,線	蘭漳	01:絕壁;10:墈;16:崢嶸
崖	ga5	ㆣㄚˊ	gâ		2	2			24:崖/厓/�(台甘);24:崖/厓/�(普閩)
崖	suann1	ㄙㄨㆩ	soaⁿ		1	1			24:崖/�/厓(台甘)
崖	tsioh8	ㄐㄧㄜㆷ ͘	chio̍h		1	1			24:崖/�/厓(台甘)
崖	piah4	ㄅㄧㄚㆷ	piah		1	1			24:崖/�/厓(台甘)
崖	lip8	ㄌㄧㆴ ͘	li̍p		1	1			24:崖/�/厓(台甘)
崖	tshik4	ㄑㄧㆤㆶ	chhek		1	1			24:崖/�/厓(台甘)
崖	bin7	ㆠㄧㄣ˫	bīn		1	1			24:崖/�/厓(台甘)
崖	pinn5	ㄅㆪˊ	pîⁿ		1	1			24:崖/�/厓(普閩)
崖	pinn1	ㄅㆪ	piⁿ		1	1			24:崖/�/厓(普閩)
崖	ia5	ㄧㄚˊ	iâ		1	1			24:崖/厓/�(台甘)
崗	kong1	ㄍㆲ	kong	文	3	59	iT,教,甘,線		09:崗(台甘);09:崗(普閩);24:因
崗	kang1	ㄍㄤ	kang	白	1	35	教,線		09:崗(普閩)
崗	kng1	ㄍㆭ	kng	白	1	1			09:崗(普閩)
崙	lun7	ㄌㄨㄣ˫	lūn	語	8	92	iT,教,日,比,甘,線	鹿泉	08:崙(台甘);08:埨;09:圪墶
崙	lun5	ㄌㄨㄣˊ	lûn	文	4	52	日,植,甘,甘文,線		08:崙(台甘);08:崙(普閩);09:山岡
崙	nng5	ㄋㆭˊ	nn̂g	白	5	21	線		08:崙(普閩);10:噲;13:積累
崙	lun3	ㄌㄨㄣ˪	lùn		1	17	線		08:崙(普閩)
崙	ka1	ㄍㄚ	ka	白	1	1			08:崙(普閩)
崚	ling7	ㄋㄧㄚ˫/ㄌㄧㄥ˫	lēng		2	28	日,線		08:綹;12:橫楣子·
崚	ling5	ㄌㄧㄥˊ	lêng		2	10	甘		08:崚(台甘)
崚	nia7	ㄋㄧㄚ˫	niā		1	1			08:綹
崛	kut8	ㄍㄨㆵ ͘	ku̍t		2	26	甘,線		13:崛(台甘);13:崛(普閩)
崞	kok4	ㄍㆦㆶ	kok		2	10	甘		09:崞(台甘);09:崞(普閩)
崟	gim5	ㆣㄧㆬˊ	gîm		2	10	甘		24:崟(台甘);24:嶔崟
崟	khim2	ㄎㄧㆬˋ	khím		1	9	甘		24:崟(台甘)
崢	tsing1	ㄐㄧㄥ	cheng		4	12	甘		16:崢(台甘);16:崢(普閩);17:崢(台甘)
崢	tshing5	ㄑㄧㄥˊ	chhêng		2	2			17:崢(台甘);17:崢(普閩)
崤	ngau5	ㄫㄠˊ	ngâu		2	10	甘		24:崤(台甘);24:崤山
崤	hau5	ㄏㄠˊ	hâu		1	1			24:崤(普閩)
崦	iam1	ㄧㆰ	iam		2	10	甘		24:崦(台甘);24:崦(普閩)
崧	siong5	ㄒㄧㆲˊ	siông		1	9	甘		22:菘
崩	pang1	ㄅㄤ	pang	白/語	24	90	iT,教,日,甘,線		01:崩(台甘);01:崩(普閩);01:崩
崩	ping1	ㄅㄧㄥ	peng	文	3	63	教,日,甘,甘文,線		01:崩(台甘);01:崩(普閩);12:薨
崩	phing1	ㄆㄧㄥ	pheng	文	3	37	日,甘,線		01:崩(台甘);01:崩(普閩);01:崩
崬	tong1	ㄉㆲ	tong		1	1			05:崬(普閩)
崮	koo3	ㄍㆦ˪	kò͘		1	1			09:崮(普閩)
崮	ku2	ㄍㄨˋ	kú		1	1			18:人山人海
崳	u5	ㄨˊ	û	文	1	1			26:崳(普閩)
崳	lu5	ㄌㄨˊ	lû	白	1	1			26:崳(普閩)
崴	ue1	ㄨㆤ	oe		3	11	甘		25:崴(台甘);25:崴(普閩);25:崴嵬
崽	tsainn2	ㄗㆮˋ	cháiⁿ	文	1	9	甘		20:崽(台甘)
崽	sai1	ㄙㄞ	sai	文	1	1			20:崽(普閩)
崽	tsai1	ㄗㄞ	chai	白	1	1			20:崽(普閩)
崿	gok8	ㆣㆦㆶ ͘	go̍k		1	9	甘		23:崿(台甘)
嵁	kham1	ㄎㆰ	kham		18	34	甘,甘文		02:陂陀;06:坦;08:砰磷
嵂	lut8	ㄌㄨㆵ ͘	lu̍t		1	9	甘		08:嵂(台甘)
嵇	khe1	ㄎㆤ	khe		1	9	甘		13:嵇(台甘)
嵇	ke1	ㄍㆤ	ke		1	9	甘		13:嵇(普閩)
嵇	he5	ㄏㆤˊ	hê	文	2	2			13:嵇(台甘);13:嵇(普閩)
嵇	ke5	ㄍㆤˊ	kê	白	1	1			13:嵇(普閩)
嵊	sing7	ㄒㄧㄥ˫	sēng		2	24	iT,甘		18:嵊(台甘);18:嵊(普閩)
嵌	kham3	ㄎㆰ˪	khàm		14	54	iT,教,甘		09:蓋碗兒;10:嵌/坎(台甘);10:嵌/坎(普閩)
嵌	kham1	ㄎㆰ	kham	又音	6	14	甘		10:嵌/坎(台甘);10:嵌/崁(台甘);14:嵌(台甘)
嵌	khiam5	ㄎㄧㆰˊ	khiâm	文白	2	10	甘		10:嵌/崁(台甘);14:嵌(台甘)
嵌	lau5	ㄌㄠˊ	lâu		3	3			10:嵌/坎(台甘);14:嵌(台甘)
嵌	tshian2	ㄑㄧㄢ/ㄑㄧㄢˋ	chhián		3	3			10:嵌/坎(普閩);14:嵌(普閩);15:鑲
嵌	tshian1	ㄑㄧㄢ	chhian		3	3			10:框;14:嵌入;15:鑲
嵌	kham2	ㄎㆰˋ	khám		2	2			08:段落;10:嵌
嵌	tshiah4	ㄑㄧㄚㆷ	chhiah		2	2			10:嵌/坎(台甘);10:嵌/坎(普閩)
嵌	kham5	ㄎㆰˊ	khâm	又音	2	2			10:嵌/坎(台甘);14:嵌(台甘)
嵌	tshia2	ㄑㄧㄚˋ	chhiá		2	2			14:嵌(台甘)
嵌	khan1	ㄎㄢ	khan		1	1			13:鐧
嵎	gu5	ㆣㄨˊ	gû		3	11	甘		04:負;26:嵎(台甘);26:嵎(普閩)
嵎	gi5	ㆣㄨˊ	gî		1	1			04:負
嵐	lam5	ㄌㆰˊ	lâm	文	2	52	iT,教,日,甘		08:嵐(台甘);08:嵐(普閩)
嵖	tsha5	ㄘㄚˊ	chhâ		2	2			17:嵖(普閩);17:嵖岈
嵩	siong1	ㄒㄧㆲ	siong	文	4	38	日,甘,線		22:嵩(台甘);22:嵩(普閩);22:嵩
嵩	sing1	ㄒㄧㄥ	seng	白	2	2			22:嵩(普閩)
嵩	su7	ㄙㄨ˫	sū	白	1	1			22:嵩(普閩)
嵫	tsu1	ㄗㄨ	chu		2	10	甘		20:嵫(台甘);20:嵫(普閩)
嵬	gui5	ㆣㄨㄧˊ	gûi		3	11	甘		25:崴嵬;25:嵬(台甘);25:嵬(普閩)
嵯	tshu1	ㄘㄨ	chhu	罕用	1	27	教,甘		21:嵯(台甘)
嵯	tshi1	ㄑㄧ	chhi	罕用	2	10	甘		21:參差;21:嵯(台甘)
嵯	tsho1	ㄘㄜ	chho		1	9	甘		21:嵯(台甘)
