#漢字	台羅	方音	白話字	語域	次數	權重	佐證	腔別	例源
濁	tok8	ㄉㆦㆶ ͘	to̍k	文/白	3	61	iT,教,日,甘,甘文		16:濁(台甘);16:濁(普閩);16:濁水溪
濁	tsok8	ㄗㆦㆶ ͘	cho̍k	文/白	12	60	iT,日,甘,線		13:涇渭分明;14:清;16:濁(台甘)
濁	tak8	ㄉㄚㆶ ͘	ta̍k	文/語	4	56	教,日,甘,線		16:濁(台甘);16:濁(普閩);19:閏音
濁	tsok4	ㄗㆦㆶ	chok		1	1			13:涇渭分明
濁	tsak8	ㄗㄚㆶ ͘	cha̍k	文	1	1			16:濁(普閩)
濂	liam5	ㄌㄧㆰˊ	liâm		4	26	iT,甘		08:濂(台甘);08:濂(普閩);08:濂江
濃	long5	ㄌㆲˊ	lông		27	93	iT,教,日,甘,線		05:靉靆;07:鬧;07:膿
濃	lang5	ㄌㄤˊ	lâng		1	1			07:膿
濃	lop4	ㄌㆦㆴ	lop		1	1			15:心
濆	bun3	ㆠㄨㄣ˪	bùn		5	23	教		01:觱沸;02:湓;14:潛逃
濆	hun5	ㄏㄨㄣˊ	hûn		2	10	甘		04:濆(台甘);04:濆(普閩)
濆	phun3	ㄆㄨㄣ˪	phùn		4	4			02:泡泡;02:噴水;13:濺
濆	bok4	ㆠㄨㄣ˪	bok		1	1			02:湓
濆	bun2	ㆠㄨㄣˋ	bún		1	1			04:觱沸
濇	sik4	ㄒㄧㆤㆶ	sek		1	9	甘		22:濇(台甘)
濇	sip4	ㄒㄧㆴ	sip		1	1			22:濇(台甘)
濈	tship4	ㄑㄧㆴ	chhip		2	10	甘		17:抽搭
濊	ue3	ㄨㆤ˪	òe		1	9	甘		25:濊(台甘)
濊	huat4	ㄏㄨㄚㆵ	hoat		1	1			25:濊(台甘)
濕	sip4	ㄒㄧㆴ	sip		79	127	iT,日,甘,線		01:埤;02:噴霧器;03:霉氣
濕	tship4	ㄑㄧㆴ	chhip		4	4			14:㬤;16:扎
濘	ling5	ㄌㄧㄥˊ	lêng	文	3	11	甘		07:濘(台甘)
濘	ling7	ㄌㄧㄥ˫	lēng	文	3	11	甘		07:濘(台甘);07:濘(普閩)
濘	ling2	ㄌㄧㄥˋ	léng	文	2	10	甘		07:濘(台甘)
濘	ning2	ㄋㄧㄥˋ	néng		3	3			07:濘(普閩);07:濘;07:濘泥
濛	bong5	ㆠㆲˊ	bông		23	65	日,甘,甘文,線		03:雺;03:茫茫;03:白茫茫
濛	mng1	ㄇㆭ	mng		7	23	線		03:毛毛雨;03:濛濛;16:著
濛	mng5	ㄇㆭˊ	mn̂g		4	4			03:濛鬆雨;03:溟濛
濛	bong1	ㆠㆲ	bong		2	2			12:黑茫茫
濛	mng7	ㄇㆭ˫	mn̄g		1	1			03:濛鬆雨
濜	tsin7	ㄐㄧㄣ˫	chīn		2	10	甘		13:濜(台甘);13:濜(普閩)
濞	phinn7	ㄆㆪ˫	phīⁿ	文	18	18			01:鼻定/丁·;01:鼻涕;01:擤鼻涕
濞	pi7	ㄅㄧ˫	pī		3	11	甘		01:濞(普閩);02:濞(台甘);02:濞(普閩)
濞	pi3	ㄅㄧ˪	pì	文	2	10	甘		01:濞(台甘);02:濞(台甘)
濞	phi7	ㄆㄧ˫	phī		3	3			01:濞(普閩);02:濞(普閩);23:漣洏
濞	pi2	ㄅㄧˋ	pí	文	1	1			01:濞(台甘)
濞	the3	ㄊㆤ˪	thè	文	1	1			01:濞(台甘)
濞	phi2	ㄆㄧˋ	phí		1	1			18:屎蚵螂
濟	tse3	ㄗㆤ˪	chè		50	116	iT,教,日,甘,線		01:撥;02:貧;02:普度
濟	tse2	ㄗㆤˋ	ché		20	38	日,甘		01:趵;05:度;10:崩潰
濟	tsi2	ㄐㄧˋ	chí		1	1			13:無濟於事
濠	ho5	ㄏㄜˊ	hô		3	11	甘		12:城隍;13:金城湯池;14:長江天塹
濡	ju5	ㆡㄨˊ	jû		1	25	甘,線		19:濡(台甘)
濡	lu5	ㄌㄨˊ	lû		1	1			19:濡(普閩)
濣	e5	ㆤˊ	ê		1	1			25:輓歌
濤	to5	ㄉㄜˊ	tô		4	56	教,日,甘,線		06:濤(台甘);06:濤(普閩)
濤	thau5	ㄊㄠˊ	thâu		1	1			17:怒潮
濩	hoo7	ㄏㆦ˫	hō͘		18	26	甘		02:霈;02:滂沱;03:濛濛
濩	hng7	ㄏㆭ˫	hn̄g		1	1			03:濛鬆雨
濫	lam7	ㄌㆰ˫	lām		175	241	iT,教,日,甘,線		02:如法炮製;02:捧;03:罵
濫	lam3	ㄌㆰ˪	làm		7	7			06:談;08:霉爛;22:索然
濫	lan2	ㄌㄢˋ	lán		1	1			08:濫(普閩)
濬	tsun3	ㄗㄨㄣ˪	chùn		5	13	甘		13:濬(台甘);13:濬(普閩);15:濬(台甘)
濬	sun3	ㄙㄨㄣ˪	sùn		1	1			15:濬(普閩)
濮	pok8	ㄅㆦㆶ ͘	po̍k		1	19	日,甘		02:濮(台甘)
濮	phok4	ㄆㆦㆶ	phok		1	9	甘		02:濮(台甘)
濮	pok4	ㄅㆦㆶ	pok		1	1			02:濮(普閩)
濯	tsok8	ㄗㆦㆶ ͘	cho̍k		1	33	iT,日,甘		16:濯(台甘)
濯	tak8	ㄉㄚㆶ ͘	ta̍k		1	1			16:濯(普閩)
濰	i5	ㄧˊ	î		2	10	甘		25:濰(台甘);25:濰
濱	pin1	ㄅㄧㄣ	pin	文	3	51	iT,教,線		01:濱(台甘);01:濱(普閩);01:濱
濱	pin5	ㄅㄧㄣˊ	pîn	文	1	9	甘		01:濱(台甘)
濲	kok4	ㄍㆦㆶ	kok		1	1			09:濲(普閩)
濺	tsuann7	ㄗㄨㆩ˫	chōaⁿ	白/語	16	82	iT,教,日,甘,線		01:迸;02:噴;02:噴水
濺	tsian7	ㄐㄧㄢ˫	chiān	文	5	21	甘,甘文		12:花;13:濺(台甘);13:濺(普閩)
濺	tsian1	ㄐㄧㄢ	chian	文	2	2			13:濺(台甘);13:濺(普閩)
濺	bun3	ㄗㄨㆩ˫	bùn		1	1			03:泌
濺	tsian2	ㄐㄧㄢˋ	chián		1	1			13:淺淺
濺	tsua7	ㄗㄨㄚ˫	chōa		1	1			18:噴射
濼	lok8	ㄌㆦㆶ ͘	lo̍k		4	12	甘		01:濼(台甘);02:濼(台甘);08:濼(台甘)
濼	phik4	ㄆㄧㆤㆶ	phek		5	5			01:濼(台甘);01:濼(普閩);02:濼(普閩)
濼	pik4	ㄅㄧㆤㆶ	pek		2	2			01:濼(台甘);02:濼(普閩)
濼	phor1	ㄆㄛ	pho̤		2	2			02:濼(普閩);08:濼(普閩)
濼	lu5	ㄌㄨˊ	lû		1	1			01:濼(普閩)
濼	niu5	ㄋㄧㄨˊ	niû		1	1			01:濼(普閩)
濼	san1	ㄙㄢ	san		1	1			01:濼(普閩)
濼	phok4	ㄆㆦㆶ	phok		1	1			02:濼(台甘)
濾	li7	ㄌㄧ˫/ㄌㄨ˫	lī	語	19	77	iT,教,日,線		08:瀝;08:淋;08:盝
濾	lu7	ㄌㄧ˫/ㄌㄨ˫	lū		9	57	iT,日,甘,線		08:淋;08:漉;08:濾(台甘)
瀅	ing7	ㄧㄥ˫	ēng		1	11	日		24:瀅(普閩)
瀅	ing5	ㄧㄥˊ	êng		2	10	甘		24:瀅(台甘);24:瀅(普閩)
瀆	tok8	ㄉㆦㆶ ͘	to̍k	文	4	52	iT,日,甘,線		05:瀆(台甘);05:瀆(普閩);12:滬
瀆	tauh8	ㄉㄠㆷ ͘/ㄉㆦㆶ ͘	ta̍uh	白	2	18	線		05:瀆(普閩);12:滬
瀆	tu5	ㄉㄨˊ	tû		2	2			03:以此相浼;25:貪官污吏
瀉	sia3	ㄒㄧㄚ˪	sià		12	96	iT,教,日,比,甘,線	澎泉	01:蓖麻;02:排水;08:溜
瀋	sim2	ㄒㄧㆬˋ	sím		3	27	甘,線		18:瀋(台甘);18:瀋(普閩);18:瀋
瀍	tian5	ㄉㄧㄢˊ	tiân		2	10	甘		17:瀍(台甘);17:瀍(普閩)
瀏	liu5	ㄌㄧㄨˊ	liû		3	41	iT,甘,線		08:瀏(台甘);08:瀏(普閩);08:瀏
瀏	liu1	ㄌㄧㄨ	liu		1	1			08:瀏
瀑	phok8	ㄆㆦㆶ ͘	pho̍k	文	7	59	日,比,甘,線	中漳	01:瀑(台甘);02:瀑(台甘);02:瀑(普閩)
瀑	pok8	ㄅㆦㆶ ͘	po̍k		2	34	iT,比	北泉,南混,竹泉,鹿泉	01:瀑(普閩);02:瀑(台甘)
瀑	po7	ㄅㄜ˫	pō	文	4	12	甘		01:瀑(台甘);01:瀑(普閩);02:瀑(台甘)
瀑	pau2	ㄅㄠˋ	páu		2	2			01:瀑布;02:瀑(普閩)
瀑	phu2	ㄆㄨˋ	phú		1	1			01:瀑布
瀑	pak4	ㄅㄚㆶ	pak		1	1			02:瀑(台甘)
瀑	phok4	ㄆㆦㆶ	phok		1	1			08:瀧
瀕	pin1	ㄅㄧㄣ	pin	文	4	12	甘		01:瀕(台甘);01:瀕(普閩);02:瀕(台甘)
瀕	pin5	ㄅㄧㄣˊ	pîn	文	4	12	甘		01:瀕(台甘);02:頻;02:頻煩/繁
瀕	phin5	ㄆㄧㄣˊ	phîn		1	1			02:瀕(普閩)
瀘	loo5	ㄌㆦˊ	lô͘		3	11	甘		02:醅;08:瀘(台甘);08:瀘(普閩)
瀚	han7	ㄏㄢ˫	hān		1	27	教,甘		12:瀚海
瀛	ing5	ㄧㄥˊ	êng		2	34	iT,日,甘		24:瀛(台甘);24:瀛(普閩)
瀝	lik8	ㄌㄧㆤㆶ ͘	le̍k	文	4	46	日,甘,甘文,線		05:滴答;08:瀝(台甘);08:瀝(普閩)
瀝	li2	ㄌㄧˋ	lí		1	1			16:煮鶴焚琴
瀟	siau1	ㄒㄧㄠ	siau		2	54	教,日,甘,線		02:翩翩;04:風度
瀠	ing5	ㄧㄥˊ	êng		2	10	甘		24:瀠(台甘);24:瀠(普閩)
瀦	tsu1	ㄗㄨ	chu		1	9	甘		16:瀦(台甘)
瀦	tu1	ㄉㄨ	tu		1	1			16:瀦(普閩)
瀦	ti1	ㄉㄧ	ti		1	1			16:瀦(普閩)
瀧	liong5	ㄌㄧㆲˊ	liông		1	27	教,甘		18:瀧(台甘)
瀧	long5	ㄌㆲˊ	lông	文	3	11	甘		08:瀧(台甘);08:瀧(普閩);18:瀧(台甘)
瀧	song1	ㄙㆲ	song	文	3	3			08:瀧(台甘);18:瀧(台甘);18:瀧(普閩)
瀧	sang1	ㄙㄤ	sang	文	1	1			18:瀧(台甘)
瀨	lua7	ㄌㄨㄚ˫	lōa	白/語	2	46	教,日,線		08:瀨(台甘);08:瀨(普閩)
瀨	lua3	ㄌㄨㄚ˪	lòa	語	7	33	日,線		06:灘;08:瀨(台甘);08:瀨
瀨	nai7	ㄋㄞ˫	nāi	文	1	9	甘		08:瀨(台甘)
瀨	lai7	ㄌㄞ˫	lāi	文	1	1			08:瀨(普閩)
瀲	liam2	ㄌㄧㆰˋ	liám		1	9	甘		08:瀲(台甘)
瀲	liam7	ㄌㄧㆰ˫	liām		1	1			08:瀲(普閩)
瀲	lian2	ㄌㄧㄢˋ	lián		1	1			18:水勢
瀳	tshinn5	ㄑㆪˊ	chhîⁿ	白	2	34	iT,教		01:蹳剌;14:瀳(普閩)
瀳	tsian3	ㄐㄧㄢ˪	chiàn	文	1	9	甘		14:瀳(台甘)
瀳	tsun5	ㄗㄨㄣˊ	chûn	文	1	9	甘		14:瀳(台甘)
瀳	tsian5	ㄐㄧㄢˊ	chiân	文	1	1			14:瀳(普閩)
瀵	bun3	ㆠㄨㄣ˪	bùn		1	11	日		06:鼧鼥
瀹	iok8	ㄧㆦㆶ ͘	io̍k		2	10	甘		26:瀹(台甘);26:瀹(普閩)
瀺	tsham5	ㄘㆰˊ	chhâm		2	10	甘		16:瀺灂;17:瀺(台甘)
瀼	jiong5	ㆢㄧㆲˊ	jiông		2	10	甘		19:瀼(台甘)
瀼	liong5	ㄌㄧㆲˊ	liông		1	1			19:瀼(普閩)
瀼	liong7	ㄌㄧㆲ˫	liōng		1	1			19:瀼(普閩)
瀽	kin5	ㄍㄧㄣˊ	kîn		1	1			06:酴醾
瀽	kian2	ㄍㄧㄢˋ	kián		1	1			13:瀽(普閩)
瀾	nua7	ㄋㄨㄚ˫	nōa	白	38	136	700,iT,教,日,比,線	中漳,北泉,南混,峽泉,澎泉,竹泉,蘭漳,金泉,高混,鹿泉	02:苦口婆心;05:倒抽一口氣;06:吐
瀾	lan5	ㄌㄢˊ	lân	文	5	71	iT,教,日,甘,線		01:波浪;08:瀾(台甘);08:瀾(普閩)
瀾	lan7	ㄌㄢ˫	lān	文	5	23	日,甘		08:瀾(台甘);08:瀾(普閩);12:哈喇子·
瀾	lan1	ㄌㄢ	lan		2	2			14:清凌凌
灂	tshiok4	ㄑㄧㆦㆶ	chhiok		2	10	甘		16:灂(台甘);16:瀺灂
灃	hong1	ㄏㆲ	hong		3	11	甘		04:灃(台甘);04:灃(普閩);04:灃水
灄	liap4	ㄌㄧㄚㆴ	liap		3	11	甘		18:灄(台甘);18:灄(普閩);18:灄口
灌	kuan3	ㄍㄨㄢ˪	koàn		36	120	iT,教,日,比,甘,線	北泉,南混,竹泉,蘭漳,金泉	01:播音;01:癟;02:耪
灌	kuan2	ㄍㄨㄢˋ	koán		2	2			09:灌腸;18:不聲不響
灑	sa2	ㄙㄚˋ	sá	文	3	47	教,日,甘,甘文		17:超脫;22:灑(台甘);22:灑掃
灑	hiu3	ㄏㄧㄨ˪	hiù	文	1	9	甘		22:灑(台甘)
灑	su1	ㄙㄨ	su		2	2			18:灑(台甘);18:灑(普閩)
灑	moo3	ㄇㆦ˪	mò͘	文	1	1			22:灑(台甘)
灕	li5	ㄌㄧˊ	lî		2	2			08:灕(台甘);08:灕(普閩)
灘	thuann1	ㄊㄨㆩ	thoaⁿ	白/語	2	68	iT,教,日,甘,線		06:灘(台甘);06:灘(普閩)
灘	than1	ㄊㄢ	than	文/文白	2	66	iT,教,甘,甘文,線		06:灘(台甘);06:灘(普閩)
灞	pa3	ㄅㄚ˪	pà		2	10	甘		01:灞(台甘);01:灞(普閩)
灠	lam2	ㄌㆰˋ	lám	文	1	9	甘		08:灠(台甘)
灠	lam7	ㄌㆰ˫	lām	文	1	9	甘		08:灠(台甘)
灣	uan5	ㄨㄢˊ	oân	語	172	238	iT,教,日,甘,線		01:輩;01:雹子·;01:堡
灣	uan1	ㄨㄢ	oan	文	8	88	iT,教,日,植,甘,甘文,線		01:病入膏肓;06:沱;09:港
灣	uainn1	ㄨㆮ	oaiⁿ	白	1	17	線		25:灣(普閩)
灣	kue1	ㄍㄨㆤ	koe	語	2	2			25:灣(台甘)
灣	lang5	ㄌㄤˊ	lâng	語	2	2			25:灣(台甘)
灣	king2	ㄍㄧㄥˋ	kéng	語	2	2			25:灣(台甘)
灣	be2	ㆠㆤˋ	bé		2	2			25:灣(台甘)
灣	tai5	ㄉㄞˊ	tâi	語	1	1			25:灣(台甘)
灣	ke1	ㄍㆤ	ke	語	1	1			25:灣(台甘)
灣	bi2	ㆠㄧˋ	bí	語	1	1			25:灣(台甘)
灣	ku7	ㄍㄨ˫	kū	語	1	1			25:灣(台甘)
灣	mia5	ㄇㄧㄚˊ	miâ	語	1	1			25:灣(台甘)
灣	hong3	ㄏㆲ˪	hòng	語	1	1			25:灣(台甘)
灣	bue2	ㆠㄨㆤˋ	bóe		1	1			25:灣(台甘)
灣	king1	ㄍㄧㄥ	keng		1	1			25:灣(台甘)
灤	luan5	ㄌㄨㄢˊ	loân		2	10	甘		08:灤(台甘);08:灤(普閩)
灨	kam3	ㄍㆰ˪	kàm		1	1			09:灨(台甘)
灩	iam7	ㄧㆰ˫	iām		3	11	甘		24:灩/灧(台甘);24:灩/灧(普閩);26:灩澦堆
灩	ian2	ㄧㄢˋ	ián		2	2			18:水勢;26:灩澦堆
火	hue2	ㄏㄜˋ/ㄏㄨㆤˋ/ㄏㆤ/ㄏㆤˋ	hóe		618	730	iT,教,新,日,比,線,諺	中漳,南混,蘭漳,高混	01:巴;01:扒;01:把
火	he2	ㄏㄜˋ/ㄏㄨㆤˋ/ㄏㆤˋ	hé		612	720	iT,教,新,日,植,比,甘,線	北泉,澎泉,竹泉	01:巴;01:扒;01:把
火	ho2	ㄏㄜˋ/ㄏㄨㆤˋ/ㄏㆤ/ㄏㆤˋ	hó		533	533			01:巴;01:扒;01:把
火	honn2	ㄏㆧˋ	hóⁿ		2	46	教,日,甘,甘文		12:火急;25:微火
火	hoo2	ㄏㆤˋ	hó͘		1	9	甘		25:文火
火	he1	ㄏㆤ	he		2	2			13:炬;18:殺暑氣
火	hu2	ㄏㄨㆤˋ/ㄏㆤˋ	hú		2	2			17:熾;17:熾烈
火	hu5	ㄏㆤˋ	hû		1	1			17:車站
灯	ting1	ㄉㄧㄥ	teng		2	2			03:滅燈;09:電線杆
灰	hue1	ㄏㄨ/ㄏㄨㆤ/ㄏㆤ	hoe		48	140	iT,教,日,比,甘,甘文,線	中漳,南混,蘭漳,高混	01:焙;02:潑;02:撲掉
灰	hu1	ㄏㄨ/ㄏㄨㆤ/ㄏㆤ	hu		43	77	日,甘,線		01:扒;01:焙;02:埄
灰	he1	ㄏㄨ/ㄏㄨㆤ/ㄏㆤ	he		24	76	日,比,甘,線	北泉,澎泉,竹泉	02:潑;03:抹;03:抹子·
灰	hua1	ㄏㄨㄚ	hoa		2	20	日,甘		15:薪;15:杯水車薪
灶	tsau3	ㄗㄠ˪	chàu	白/語	29	135	700,iT,教,日,比,甘,線	中漳,北泉,南混,峽泉,澎泉,竹泉,蘭漳,金泉,高混,鹿泉	02:泡;02:庖;02:盤灶
灶	tso3	ㄗㄜ˪	chò	文	2	36	教,甘,甘文		20:灶/竈(台甘);20:灶/竈(普閩)
灶	tsau2	ㄗㄠˋ	cháu		1	1			08:爐/鑪
灶	tsang3	ㄗㄤ˪	chàng		1	1			17:廚房
灸	ku3	ㄍㄧㄨˋ/ㄍㄨ˪	kù	白/語	4	56	教,日,甘,線		13:灸(台甘);13:灸(普閩);13:灸
灸	kiu2	ㄍㄧㄨˋ	kiú	文	4	38	日,甘,線		13:灸(台甘);13:灸(普閩);16:扎針
灸	kiu3	ㄍㄧㄨˋ/ㄍㄧㄨ˪	kiù	文	4	36	甘,甘文,線		13:灸(台甘);13:灸(普閩);13:灸
灸	u3	ㄨ˪	ù		1	9	甘		13:灸(台甘)
灺	sie2	ㄒㄧㄝˋ	sié		1	1			08:蠟扦兒
灼	tsioh4	ㄐㄧㄜㆷ	chioh	白	2	12	日		16:灼(普閩)
灼	tsio3	ㄐㄧㄜ˪	chiò		1	11	日		16:灼(普閩)
灼	tsiok4	ㄐㄧㆦㆶ	chiok	文	2	10	甘		16:灼(台甘);16:灼(普閩)
災	tsai1	ㄗㄞ	chai	文	120	204	iT,教,日,比,甘,線	中漳,南混,澎泉,竹泉,蘭漳,高混	01:病;03:蒙;04:非常
災	tse1	ㄗㄞ/ㄗㆤ	che	白	3	69	iT,教,比,線	中漳,北泉,南混,澎泉,竹泉,蘭漳,高混	09:<glyph:k/fb7;20:災(台甘);20:災(普閩)
炅	king2	ㄍㄧㄥˋ	kéng		1	1			13:炅/�(普閩)
炆	un5	ㄨㄣˊ	ûn		1	1			16:煮鶴焚琴
炊	tshe1	ㄘㄨㆤ/ㄘㆤ	chhe	白/語	50	162	700,iT,教,日,植,比,甘,線	北泉,澎泉,竹泉	01:箅子·;01:補肚子·;03:饅頭·
炊	tshue1	ㄘㄨㆤ/ㄘㆤ	chhoe	語	47	145	700,iT,教,日,比,線	中漳,南混,蘭漳,高混	01:箅子·;01:補肚子·;03:饅頭·
炊	tshui1	ㄘㄨㄧ	chhui	文	4	20	甘,甘文		17:炊(台甘);17:炊(普閩);17:炊事
炎	iam7	ㄧㆰ˫	iām		28	94	iT,教,日,甘,線		01:病入膏肓;03:腹膜;05:鼻竇炎
炎	iam5	ㄧㆰˊ	iâm	文	5	13	甘		12:火氣;13:加答兒;19:人情
炎	tam5	ㄉㆰˊ	tâm		1	9	甘		24:炎(台甘)
炎	ian5	ㄧㄢˊ	iân		1	1			10:烤煙
炒	tsha2	ㄘㄚˋ	chhá	白/語	64	130	iT,教,日,甘,線		01:焙;01:炮;01:爆
炒	tshau2	ㄘㄠˋ	chháu	文	2	36	教,甘,甘文		17:炒(台甘);17:炒(普閩)
炒	siann3	ㄒㄧㆩ˪	siàⁿ	白	1	1			17:炒(普閩)
炒	tshau1	ㄘㄠ	chhau		1	1			26:紛紜
炔	kuat4	ㄍㄨㄚㆵ	koat		3	3			14:炔(台甘);14:炔(普閩);14:乙炔
炕	khong3	ㄎㆲ˪	khòng		38	134	700,iT,教,日,甘,甘文,線		01:扒;02:扒;03:燜
炕	khang2	ㄎㄤˋ	kháng		3	3			10:匟床;16:炙烤;16:煮鶴焚琴
炖	tun2	ㄉㄨㄣˋ	tún		1	1			16:煮鶴焚琴
炘	him1	ㄏㄧㆬ	him		1	9	甘		15:炘(台甘)
炙	tsia3	ㄐㄧㄚ˪	chià		6	80	iT,教,日,甘,甘文,線		01:八珍;16:炙(台甘);16:炙(普閩)
炙	tsiah8	ㄐㄧㄚㆷ ͘	chia̍h		1	25	甘,線		13:焦
炙	tsik4	ㄐㄧㆤㆶ	chek	文	2	10	甘		16:炙(台甘);16:炙(普閩)
炙	tsinn3	ㄐㆪ˪	chìⁿ		1	1			10:膾灸人口
炙	iu5	ㄧㄨˊ	iû		1	1			16:炙(台甘)
炙	kue2	ㄍㄨㆤˋ	kóe		1	1			16:炙(台甘)
炙	ke2	ㄍㆤˋ	ké		1	1			16:炙(台甘)
炙	mi7	ㄇㄧ˫	mī		1	1			16:炙(普閩)
炙	tsiah4	ㄐㄧㄚㆷ	chiah		1	1			16:煮鶴焚琴
炫	hian7	ㄏㄧㄢ˫	hiān	文	2	28	教,甘		15:炫(台甘);15:炫(普閩)
炫	hian5	ㄏㄧㄢˊ	hiân		1	9	甘		15:炫(台甘)
炫	hing7	ㄏㄧㄥ˫	hēng	白	1	1			15:炫(普閩)
炬	ku7	ㄍㄨ˫	kū		2	26	甘,線		13:炬(台甘);13:炬(普閩)
炬	ki7	ㄍㄧ˫	kī		1	1			13:炬(台甘)
炭	thuann3	ㄊㄨㆩ˪	thòaⁿ	語	75	165	iT,教,日,植,比,甘,線	中漳,北泉,南混,峽泉,澎泉,竹泉,蘭漳,金泉,高混,鹿泉	02:埄;02:批;03:煤
炭	than3	ㄊㄢ˪	thàn	文	2	28	日,甘,甘文		06:炭(台甘);06:炭(普閩)
炭	thuann2	ㄊㄨㆩˋ	thóaⁿ		1	15	iT		13:煤井
炮	phau3	ㄆㄠ˪	phàu	語	35	107	iT,教,日,植,甘,線		01:炮(台甘);01:炮(普閩);01:炮/爆(台甘)
炮	pau5	ㄅㄠˊ	pâu	文	5	21	甘,甘文		01:炮(台甘);01:炮/爆(台甘);02:炮(台甘)
炮	pu5	ㄅㄨˊ	pû	文/語	7	15	甘		01:炮(台甘);01:炮/爆(台甘);01:炮/爆(普閩)
炮	phau2	ㄆㄠˋ	pháu		11	11			01:炮(普閩);02:炮;02:炮仗
炮	pau1	ㄅㄠ	pau		8	8			01:炮(普閩);01:炮;02:炮/礮(普閩)
炮	phau5	ㄆㄠˊ	phâu		5	5			02:如法炮製;02:炮/礮(普閩);08:炮烙
炮	pau2	ㄅㄠˋ	páu		4	4			01:炮/爆(普閩);01:爆肚兒;16:煮鶴焚琴
炮	tua7	ㄉㄨㄚ˫	tōa		1	1			01:炮/爆(台甘)
炮	pok4	ㄅㆦㆶ	pok		1	1			01:炮/爆(普閩)
炮	pok8	ㄅㆦㆶ ͘	po̍k		1	1			01:炮/爆(普閩)
炮	hue2	ㄏㄨㆤˋ	hóe	語	1	1			02:炮(台甘)
炮	he2	ㄏㆤˋ	hé	語	1	1			02:炮(台甘)
炮	ho2	ㄏㄜˋ	hó	語	1	1			02:炮(台甘)
炮	piah4	ㄅㄧㄚㆷ	piah		1	1			16:煮鶴焚琴
炯	king2	ㄍㄧㄥˋ	kéng		2	10	甘		13:炯/�(台甘);13:炯/�(普閩)
炰	pu5	ㄅㄨˊ	pû		8	78	教,日,甘,線,諺		02:炮烙;04:烰;16:煮鶴焚琴
炱	tai5	ㄉㄞˊ	tâi	文	4	12	甘		06:炱(台甘);06:炱(普閩);06:炱
炱	thai1	ㄊㄞ	thai	文	1	9	甘		06:炱(台甘)
炱	thai5	ㄊㄞˊ	thâi		1	1			24:松煙
炳	ping2	ㄅㄧㄥˋ	péng		2	38	教,日,甘		01:炳(台甘);01:炳(普閩)
炷	tsu3	ㄗㄨ˪	chù		8	46	iT,甘,線		15:香(兒);16:炷(台甘);16:炷(普閩)
炸	tsuann3	ㄗㄨㆩ˪	chòaⁿ		3	93	700,iT,教,新,比	中漳,北泉,南混,澎泉,竹泉,金泉,高混,鹿泉	01:蓖麻;12:涸;24:油
炸	tsa3	ㄗㄚ˪	chà	文	27	85	iT,教,日,線		01:爆發;01:爆炸;03:麻(/<glyph:k/
炸	tsiah8	ㄐㄧㄚㆷ ͘	chia̍h	白	1	51	iT,教,比	中漳,南混,竹泉,蘭漳,金泉,高混,鹿泉	16:炸(普閩)
炸	tsia7	ㄐㄧㄚ˫	chiā	白	9	25	線		06:汆;16:炸(普閩);16:炸
炸	tsah8	ㄗㄚㆷ ͘	cha̍h		1	11	日		24:油條
炸	siap4	ㄒㄧㄚㆴ	siap		2	10	甘		16:炸(台甘)
炸	tsa7	ㄗㄚ˫	chā	文/白	3	3			16:炸(普閩)
炸	iu5	ㄧㄨˊ	iû	白	2	2			16:炸(普閩)
炸	kue2	ㄍㄨㆤˋ	kóe	白	2	2			16:炸(普閩)
炸	ke2	ㄍㆤˋ	ké	白	2	2			16:炸(普閩)
炸	tsann3	ㄗㆩ˪	chàⁿ		1	1			24:一顆
為	ui7	ㄨㄧ˫	ūi		472	524	教,日,甘,線		01:白頭如新;01:杯弓蛇影;01:抱粗腿
為	ui5	ㄨㄧˊ	ûi		359	431	iT,教,日,植,甘,線		01:罷了;01:淺薄;01:簸弄
為	ui2	ㄨㄧˋ	úi		1	1			03:為甚麼
為	ue5	ㄨㆤˊ	ôe		1	1			18:楯
為	un7	ㄨㄣ˫	ūn		1	1			19:仁人
為	in1	ㄧㄣ	in		1	1			25:為(台甘)
為	ui3	ㄨㄧ˪	ùi		1	1			26:用特函商
炻	sik8	ㄒㄧㆤㆶ ͘	se̍k		1	1			18:炻(普閩)
烀	hu1	ㄏㄨ	hu		2	2			16:蒸蒸;16:煮鶴焚琴
烆	hiann5	ㄏㄧㆩˊ	hiâⁿ		25	25			01:爆;05:豆花;08:爐/鑪
烈	liat8	ㄌㄧㄚㆵ ͘	lia̍t		55	107	教,日,甘,線		01:碧血;02:盤腸;03:猛烈
烈	leh8	ㄌㆤㆷ ͘	le̍h		2	2			16:霍亂症;18:絞腸痧
烈	lie2	ㄌㄧㄝˋ	lié		1	1			13:劇痛
烈	liat4	ㄌㄧㄚㆵ	liat		1	1			13:北風捲地
烊	iunn5	ㄧㆫˊ	iûⁿ	白	2	18	線		24:烊(台甘);24:烊(普閩)
烊	iong5	ㄧㆲˊ	iông	文	2	10	甘		24:烊(台甘);24:烊(普閩)
烊	iang5	ㄧㄤˊ	iâng	文	4	4			24:烊(台甘);24:打烊
烊	ionn5	ㄧㆧˊ	iôⁿ		1	1			24:烊(台甘)
烊	iang2	ㄧㄤˋ	iáng		1	1			24:打烊
