#台羅	漢字（按次數）
gut4	兀 迄 矻 屹 吃 暨 訖 阢 齀
gut8	兀 杌 屹
ha1	哈 呵 噓 欱 下 荷 噴 𨉣 呀 岈
ha3	孝 罅 下 哈 噓 嗄 嘑 哧
ha5	縖 霞 瑕 蛤 蝦 瘕 假 牙 爻
ha7	下 夏 廈 厦 哧 窨
hah4	哈 合 喝 熇 呵 佮 欱 噓 嘑 礜 暍 㷎 脇
hah8	合 籜 葉 哈 笚 筪 學 箬 脅
hai1	咳 奓 害 咍 海 哈 嗨 爖
hai2	海 害 嗐 沈 唉 㟖 滄
hai3	嗨 咳 唉 㩵 係 哼 㧡 嗐 呀
hai5	諧 頦 還 孩 咳 骸 械 音 彼 文 鞋 傲 圓 播 蔔 雀 推 役 洒 粹 謄 臥 飫 荑 姥 鮭
hai7	害 壞 械 亥 駭 解 迦 骸 氦 獬 奒
hainn1	哼 嗨
hainn3	㧡 㩵 𣣶 真 咳
hainn5	還
hainn7	㩵 嗨
hak4	學 㕰 嗀 畜 礜
hak8	學 礐 斛 嶨 澩 校 氹 礜
ham1	含 頇 蚶 憨 汗 酣 合 頦 頷 顢 貝 緩 蟯 邯 欿
ham2	撼 闞 噉 𣛴 泔 饞
ham3	譀 䫲 泛 顑 氾
ham5	含 函 銜 涵 頇 汗 緘 鹹 嗛 頷 顢 憨 咸 邯 唅 椷 慊 瑊
ham7	陷 憾 頇 餡 艦 頷 汗 憨 撼 酣 萏 噤 檻
han1	番 頇 蕃 憨 蚶 和 烤 鼾 唅 壟 适
han2	罕 喊 熯 扞 和 旱 漢 汗 含 憾 歛 旰 琀 瞷
han3	漢 汗 閒 厂 傼
han5	還 寒 含 蕃 韓 閑 榦 懸 間 番 汗 閒 絎 頷 熱 弦 犴 𡢃 鼾 涵 𤞶 嫻 㩃
han7	限 旱 汗 翰 悍 焊 旰 頇 矸 桿 捍 扞 骭 瀚
hang1	烘 夯 魴 魟 豐 鰟 峰
hang2	哄 夯 桁
hang3	𤵻 項 泛 臖 胮 放 肛 氾
hang5	行 降 絎 航 吭 杭 語 缸 頏 桁
hang7	項 巷 行 衖 銗
hann2	哄 闞
