#台羅	漢字（按次數）
huat8	活 罰 伐 乏 閥 茷 動 滑 橰 筏 直 發 缺
hue1	花 灰 恢 素 歲 白 粟 飛 蒜 旋 瑰 穎 馨 蘤
hue2	火 伙 夥 悔 賄 𠈆 貨 管 歲 計 炮 淬 傢 栓 烙 爖 熅
hue3	貨 歲 廢 悔 載 潰 晦 伙 癈 聵
hue5	回 和 𫝻 茴 迴 蛔 徊 燴 花 尚 復 挨 裴 捱
hue7	會 匯 潰 憒 蟹 雙 薈 瞶 膭 䙡 聵 闠
hueh4	血 文 咯 覌
hueh8	血
hui1	非 揮 飛 妃 徽 輝 啡 菲 緋 蜚 徘 琲 扉 霏 騑 煇 匪 斐 屝 琿 褘
hui2	毀 匪 誹 菲 蜚 非 悱 斐 榧 翡 費 蜰 朏 篚 虺 烜 虫
hui3	費 廢 肺 痱 沸 怫 狒 芾 諱 給 疿 惠 賁 潰 翡 砩 喙 卉
hui5	危 䖒 瓷 肥 淝 腓 痱 䀁 賁 陶 蜰 磁
hui7	惠 慧 茷 吠 音 緯 彙 蜚 翡 狒 萉 槥 恚 蕙 彗 繐
huih4	血 咯 文
huih8	血
huinn1	欷
huinn5	橫 音 黃 歔
hun1	分 婚 熏 煙 薰 紛 昏 氛 勳 吩 烟 燻 壎 雰 芬 葷 纁 酚 棻 獯 曛 醺 會 雲 伸 份 叢 坌 坋 焄 菸 殙 匪 汾 棼 鼢 煇
hun2	粉 憤 混 忿 狠 墳 扮 奔 賁 坌 坋 諢 奮 咯 坟 鼢 圂 鯶 惲
hun3	訓 奮 楥 楦 拚 糞 憤 僨 璺 釁 恨 忿 馴 混 熏 鱝
hun5	痕 雲 魂 紋 墳 焚 渾 混 賁 蕡 坟 濆 汾 鼢 豶 餛 蕓 頒 坌 緄 枌 棼 篔 谷 哏
hun7	分 恨 份 混 昏 暈 渾 澹 奔 坋 憤 鱝 狠 釁 猌
hut4	忽 佛 拂 彿 怫 咈 刜 囫 㧾 惚 沸 黻 欻 不 冹 艴 弗 茀 祓 紱 紼 韍 髴 呼 㓖 供 彷 芾 沷 氟 渾 齕 汔 笏
hut8	佛 核 忽 怫 唿 紇 柫 芾 氟
i0	已 宜
i1	伊 醫 衣 依 於 咿 一 她 噫 猗 欹 繄 黟 以 欸 漪 鷖 矣 廈 音 文 語 椅 唉 揖 愖 攲 陭 恂 栀 禕 旖 銥
i2	以 已 椅 與 倚 一 易 迆 苡 意 羽 埸 抑 翼 杙 埶 腋 乂 勩 亦 音 己 益 衣 肄 裔 億 屹 艾 邑 矣 旖 食 文 條 藝 施 跛 譯 予 液 憶 疫 猗 曳 昳 斁 弋 禹 詣 掎 綺 縊 錡 芑 迤 囈 繹 义 㹭 鶂 佁 鷾 扆 銥 泆 奕 唈 艗 饐
i3	意 薏 飫 衣 翳 瞖 噫 矣 瘞 饐 懿 遞 中 稱 舶 醫 癔 芣 𤸸 咦 繓 曀 媕 嫕 螠
i5	移 姨 維 餘 夷 遺 圯 一 蛇 胰 迆 唯 台 荑 咦 姬 眙 彝 疑 詒 怡 扅 迻 宧 頤 音 施 治 弛 輿 鮧 佗 惟 匜 痍 貽 簃 飴 濰 與 刣 儀 悸 妃 宜 它 洟 委 咿 嶷 誃 迤 余 羡 椸
i7	預 易 異 肄 豫 譽 裔 與 食 伊 廙 丌 瑰 彊
ia1	呀 埃 丫 壓 啞 耶 啊 鴉 鴨 押 椏 地 阿 軋 枒 埡
ia2	野 冶 猶 軋 也 掗 影 揠 砑 御 迓 是 仔 抑 訝 墅 艽 埡
ia3	厭 也 𤸸 斁 呀 別 績 揖 咽 絳 笮
ia5	爺 椰 役 牙 邪 鋣 耶 荼 琊 呀 揶 芽 啊 衙 崖 蚜 倻
ia7	夜 也 㲜 敥 亦 掖 射
iah4	挖 抑 亦 或 頁 蝶 益 揠 壓 野 憶 氨
iah8	亦 或 澤 役 蝶 驛 頁 葉 瘍 易 疫 挖 擇 帙 文 交 司 拍 也 痬 蜴 燡
iak4	抑
iam1	閹 奄 陰 厭 淹 腌 懨 崦 鹽 蜻 俺 艷 醃 鵪
iam2	掩 奄 罨 淹 剡 晻 琰 裺 掞 埯 弇 厴 魘 黶 揜 扊
iam3	厭 淹 俺 饜 壓 惡 窨 靨 弇 覎
iam5	鹽 炎 塩 簷 閻
iam7	炎 焰 鹽 豔 艷 焱 灩 閻 燄
ian1	煙 淵 湮 嫣 胭 咽 閼 醃 腌 鵪 燕 姻 烟 焉 蔫 腸 閹 堙 鄢 蜎 鳶 菸 熏 莞 殷 甄 軒 闉
ian2	演 偃 衍 厭 燕 堰 咽 沿 淹 艷 灩 兗 郾 蝘 贋 音 鹽 緣 焰 釅 雁 鴈 匽 罨 戭 鰋 讌 醼
ian3	宴 緣 燕 咽 嚥 厭 堰 鷃 讌 窩 沿 焉 匽
ian5	延 緣 鉛 沿 簷 芫 筵 言 莞 層 櫞 捐 蜒 蜎 重 巖 顏 檐 埏 鹽 黃 研 堵 炎 妍 焉 鳶
ian7	緣 沿 院 掾 衍
iang1	央 鞅 秧 殃 傭 鴦 泱
iang2	養 樣 怏 䬬 讀 烊 氧
iang3	映 要
iang5	揚 昜 陽 烊 楊 羊 徉 佯 瘍 洋 痒 蛘 煬
iang7	鞅 攍 負 漾 樣 養 恙
iann1	英 纓 映
iann2	影 映 䚆 冶
iann3	映
iann5	贏 營 屏 盈
iann7	颺 映 揚 焱 漾 敥 焰
iannh8	愕
iap4	掩 匎 揲 靨 燁 厭 挹 偞 匊 擛 曄 饁 擪 揜 魘
iap8	葉 煠 頁 蝶 燁 曄
iat4	咽 謁 閱 揲 蠍 蠮 黦
iat8	閱 悅 曳 拽 揲 說 逸 搧 稅 軼
iau1	枵 要 妖 邀 猶 約 夭 腰 么 吆 飢 徼 喓 凹 喲
iau2	猶 要 夭 舀 藥 樂 鑰 窈 拗 靿 籲 鷂 杳 也 瘧 窅 袎
iau3	要 厭 靿 猶 袎
iau5	謠 搖 遙 瑤 陶 銚 窯 繇 僥 窑 傜 颻 洮 珧 徭 淆 鷂 姚 軺 鰩 揄 猶 蟯 匋 堯 猺
iau7	耀 曜 鷂
iaunn1	貓 喓
ie1	噎 爺 耶 㖿 掖
ie2	咽 葉 曳 掖 液 拽 腋 語 夜 枼 靨 燁 餲 曄 擪
ie5	㖿 邪 爺 椰 揶
ih8	胰 葉
ik4	益 溢 憶 億 抑 呃 扼 臆 軛 隘 嗌 液 啞 厄 阨 鎰 思 易 譯 癔 裨 浴 薏 肐 桎 謚 抶 艗 鷁 鐿 彧 彠
ik8	液 易 浴 域 譯 疫 翼 畫 逸 掖 劃 役 或 驛 繹 射 佚 軼 亦 埸 帙 翌 懌 斁 弋 杙 腋 閾 佾 弈 奕 翊 蜴 嶧 䭞 交 憶 啞 迭 慾 𦑌 泆 艗 棫 蜮
im1	音 陰 淹 蔭 窨 樂 喑 鴆 市 漲 闇 愔 瘖 蔔 紉 遒 吽
im2	飲 痛
im3	蔭 窨 廕 飲 庇
im5	淫 蟫 霪 鐔 冘
in1	因 𢙠 恩 姻 絪 殷 湮 音 洇 陰 慇 堙 煙 引 伊 端 衣 亮 喑 氤 茵 禋 駰 闉 縕 綑 為 印 沾 紉 咽 迄 裀
in2	引 允 蔭 隱 湮 蚓 應 印 尹 憖 窨 殷 戭 人 舵 陰 准 癮 暈 紖 猌 靷 鮣
in3	印 應 蔭 戳 鮣
in5	寅 夤 淫 垠 狺 勻 吟 紜 齦 釿 齗 蟫 洇 云 殥
in7	孕 韻 胤 隱 媵 賸
ing1	應 英 櫻 坱 鷹 嬰 癰 鶯 轟 鸚 纓 膺 嚶 塕 馨 攖 罌 鍈 飛 薨 媖 瑛 罃 霙 瓔 蘡 癭 素 該 哩 粟 壅 雍 誔
ing2	永 影 泳 湧 往 應 穎 景 㯋 郢 潁 硬 映 浪 迎 璟 䚆 癭 咏 詠
ing3	應 用 壅 映 甕 蕹 答 語 遒
ing5	閒 閑 榮 營 贏 縈 螢 楹 盈 嬴 間 滎 嶸 蠑 塋 熒 瑩 瀅 鎣 瀠 瀛 籯 蠅 迎 罃
ing7	用 漾 鈀 文 泳 媵 咏 詠 孕 恂 瀅
inn1	嬰 蠳 咿 蜓 嚶 穎 圓 絪 英 秧 蛉
inn2	芛 穎 椅 肄 芽 鐦 笋 鷁
inn3	燕 薏 嚶 應 院 唉 咿 喑
inn5	圓 縈 楹 丸 文 絪 員 櫞
inn7	院 易 異 肄 咿 施 衍 勩 譽
innh4	咿 盈 噎
innh8	咿 噫 曀 圓
io1	腰 育 唷 喲 么 邀 要 鷗
io2	舀 毆 嘔 挹 沃
io3	唷
io5	搖 窯 窑 颻 呦 喲
io7	約 藥 酚 鷂
ioh4	約 溢 臆 藥 喲 虳 唷 億 憶
ioh8	藥 鑰 約 育 酚 唷 氨 葯
iok4	約 喲 益 慾 矱 拗 薁 鑰 隩 彧 煜 鴥 彠
iok8	育 慾 欲 躍 浴 藥 鑰 鬻 葯 淯 龠 唷 籲 谷 昱 峪 煜 鵒 瀹 爚 約 趯 鋊 燠 霅 籥 彠
iong1	央 癰 臃 雍 殃 邕 廱 鞅 秧 擁 蕹 泱 饔 用 傭 壅 㴩 佣
iong2	勇 養 蛹 仰 鞅 擁 湧 踊 氧 甬 俑 癢 壅 痒 慂 踴 文 往 臾 蛘 㼜 鯒
iong3	擁 用 壅 映 鞅 怏 創 甕 蕹 盎 泱
iong5	容 陽 揚 庸 蓉 融 楊 傭 洋 羊 溶 瘍 徉 痒 颺 佯 鎔 芙 榕 垟 烊 暘 煬 瑒 墉 慵 鄘 鏞 鱅 頌 蛘 顒 佣
iong7	用 漾 語 鈀 養 樣 扒 煬 恙 颺 揚 傭 憐 沛 癢 摀 恂 䬬 佣
ionn1	鴦
ionn2	舀 養
ionn5	羊 洋 融 溶 鎔 熔 楊 陽 容 文 承 碎 瘍 痒 庸 烊
ionn7	樣
ior1	唷 喲 育
ior2	毆 沃 嘔 敺
ip4	揖 挹 邑 悒 䇼 腌 唈 熠 浥
irn1	恩 漳
it4	一 乙 憶 鎰 佚 逸 枝 益 組 噎 汨 汩 迄 桎 饐
it8	逸 佚 軼 一
iu1	優 憂 幽 悠 呦 攸 麀 鄾 耰 搐 吚 京
iu2	有 友 誘 酉 吆 黝 牖 羑 莠 猶 右 由 幼 佑 吚 槱 戭
iu3	幼 有 吚 穎 呦 蚴
iu5	油 由 遊 猶 游 郵 尤 蝤 遒 酋 蝣 繇 魷 疣 說 柚 炸 洋 蚰 揄 猷 槱 炙 豫 蒸 鰷 桐 囮 悠 鯈 攸 斿 蚘 莜 蕕 㘥 冘
iu7	又 右 柚 有 釉 佑 誘 侑 鼬 酉 祐 狖 囿 宥 斯 鈾 槱 褎
iuh4	鮎
iunn1	鴦 秧 容
iunn2	養 舀 漳 㼜
iunn5	羊 洋 融 溶 熔 楊 陽 鎔 庸 漳 瘍 烊 煬 容 樣 承 揚 痒 垟
iunn7	樣
je5	挼 摧
ji2	子 愈 爾 邇 耳 洱 汝 吉 你 禰 尔 湑 鉺
ji5	而 兒 如 茹 榆 注 缺 袽 洏 鮞 歈
ji7	字 二 膩 喻 餌 鈀 佴 洱 鉺 貳 泉 白 沛 裕 珥
jia1	遮
jia2	惹 喏 一
jia5	晣
jia7	喏 偌 揖
jiah4	跡 蹟 迹
jiak8	若 熱
jiam1	遮
jiam2	染 蚒 冉 苒 荏 髥
jiam7	仞 任 染
jian2	蹨
jian3	晣 晢
jian5	然 燃 蹨 宛
jian7	然
jiang2	嚷 壤 讓
jiang7	讓
jiap4	囁 顳 廿
jiap8	顳
jiat4	熱
jiat8	熱 鬧
jiau2	擾 爪 繞 抓 嬈 鳥 搔 柹
jiau3	抓 縐 泉 搔 爪 皺
jiau5	皺 䩌 縐 饒 嬈 蕘 蟯 橈 醀 繞 醮 襓
jiau7	尿 溺
jiaunn2	鳥 爪
jiaunn3	抓
jih4	捺 㧫 廿
jih8	㧫 廿 讀 壓 按 捏 扼 晧 扲 擮
jik4	耘
jim2	忍 飪 恁 稔 荏 衽
jim5	任 恁 尋 紉 絳 燖 壬
jim7	任 認 刃 潯 紉 賃 飪 韌 紝 仞 妊 牣 軔
jin1	懍 齦
jin2	忍 恁 蔘
jin3	恁
jin5	人 仁 齦 廩 蕉 紉
jin7	認 泉 輸
jing2	覷
jing5	扔 艿 茸 仍 礽
jio5	橈
jio7	尿 溺
jioh8	弱
jiok4	逐 搦 肉 蒻
jiok8	弱 辱 肉 搦 若 褥 溺 溽 蓐 縟 暴 箬 摶 衄 彊 蒻
jiong2	嚷 壤 釀 攘 讓 冗 孃 穰
jiong3	釀
jiong5	絨 茸 戎 攘 瀼 穰 剪 孃 穠 瓤 勷 蘘 禳 礽 狨 羢 𣭲 氄
jiong7	讓 釀 攘
jip8	入 寂 㧫 爖
jit8	日 曆 是 別 今 朝 衵
jiu1	參
jiu2	鞣 糅 䤝 厹 禸 輮
jiu5	柔 鞣 糅 鰇 猱 揉 榆 蹂 輮
jorh4	呔
ju2	愈 乳 女 籹 癒 庾 擩 窳 汝 爾 你 尔 醹
ju5	如 榆 儒 茹 渝 注 襦 臾 諛 蠕 洳 鑐 萸 毹 擩 薷 揄 俞 腴 隃 逾 褕 踰 瘐 堅 紀 役 陽 臑 拏 挐 覦 嚅 袽 銣 孺 濡 醹 顬 愉 歈 瑜 萮 窬 羭 蝓
ju7	喻 裕 茹 如 字 女 籲 論 儒 臾 牸 瑜 諭
jua7	若 偌 畷
juah8	熱 焫
juan2	軟 蠕 轉 愞
juan5	堧
jue5	挼 羸 耒 蕤 痿
jue7	銳 睿 讀 蚋 耒 芮 汭 枘
juh4	司
jui1	綏
jui2	蕊
jun2	蠕
jun7	潤 閏 韌 嫩 媆
ka1	家 加 膠 鉸 佳 下 交 咳 咖 鵁 筊 嘎 茭 自 尻 傀 軲 袈 咬 珈 枷 旮 胛 歸 吉 傢 葭 嘉 假 共 到 啡 迦 蟉 虼 茄 跏 鮫 伽 磕 松 鉤 駕 江 狡 吤 欬 痂 笳 隹 個 乾 落 夾 皮 價 栲 己 割 𪁉 甲 貝 覺 瞌 胳 耞 轆 崙 𥬯 豭 恂
ka2	絞 假 攪 賈 榎 檟 嘎 嘏 斝 㽱 到 栲 鉸 瘕 尬
ka3	教 假 駕 到 絞 漖 價 嫁 嘎 稼 較 架 洘 呷 校 差 既 譁 枷 ③ 窌 窖
ka5	嘎 軋 尜 瘸 茄 枷 釓 噶 痂
ka7	共 加 咬 嘎 齩 家 給 自 磕 佳 絞 咳 蛟 砑
kah4	到 甲 胛 合 恰 及 教 䘥 夾 較 蓋 嘎 笚 鉀 舺 鴿 既 袷 裌 磕 共 夠 組 瞌 差 籗 岬 恂 裯
kah8	到 甲 舉 佮
kai1	該 階 皆 佳 咳 楷 偕 稭 喈 街 垓 陔 賅 痎 奓 應 改 荄 剴 鍇 嚌
kai2	解 改 蓋 芥 胯 變 難 回 界 丐 槩 隑
kai3	界 介 戒 蓋 概 芥 解 怪 丐 誡 疥 骱 鈣 槩 价 屆 尬 蚧 戤 玠 剴 潔 溉 㮣 罫 鑉 摡 恝
kai5	獃
kainn1	肩 間
kainn3	間
kainn5	個 目
kak4	覺 角 埆 桷 穀 确 較 鈀 鵤 瑴 榷 克 菊 谷 斠 傕 攫
kak8	樂 擱 獄 擲 搩 角 捒 棄 磔
kam1	甘 柑 敢 監 疳 橄 感 坩 籠 泔 緘 苷 姦 鉤 㒈 尷 椷 𣢟
kam2	感 敢 𥴊 㒈 橄 澉 兒 監 噉 鱤 鰔 𣢟
kam3	監 鑑 鑒 艦 贛 紺 戇 獄 淦 灨
kam5	含 巖 噙
kam7	檻
kan1	間 乾 干 艱 矸 奸 杆 姦 簡 肝 竿 堅 甘 玕 割 菅 酐 音 經 典 閒 桿 泔 苷 橄 綱 尷 蕑 飦
kan2	簡 囝 幹 𡢃 柬 敢 桿 鐧 趕 揀 稈 嫺 襇 秆 擀 繭 蕳 音 干 杆 筸 贛 榦 嫻
kan3	間 諫 幹 澗 旰 姦 干 榦 鐧 諜 絹 骭 瞷
kan7	厂
kang1	工 江 公 扛 蚣 功 剛 綱 犅 岡 共 鋼 掆 紀 肛 豇 杠 矼 茳 紅 胱 蜈 釭 崗 牨 繮
kang2	講 港 槓 犅 虹 耩 牨 購 杠 薄 壙 降 鋼 篔
kang3	降 戇 𤝷 虹 蝀 洚 絳 強 鋼 槓 倲 贛
kang5	共 戇
kang7	共 同 戇
kann1	監 橄 柑
kann2	囝 敢 子 夾 讀
kann3	酵 䵟 敢
kann5	含 銜
kann7	咁 酵
kannh4	斷
kannh8	射
kap4	合 及 佮 蛤 鴿 鞈 岬 夾 胛 袷 甲 䘥 頜 韐 結 連 比 裌 篋 笚 搿 閤 浹 郟 舺 遒 呷 敆 氨
kap8	及 合 哈 洽 佮 餄
kat4	結 墼 葛 嘎 噶 割 丐 合 覺 敨 擖 戛 恝 苑
kat8	竭
kau1	交 溝 鉤 勾 郊 高 艽 糕 膏 鵁 蛟 鮫 膠 筊 鉸 茭 緱 睪 骹 夠 𪁉 句 潔 偷 咬 腎 跤 朾 羔 睾 峧 㽱 轇 䉀
kau2	狗 九 狡 口 蚼 垢 告 絞 啞 裹 膏 筊 鉸 姣 佼 玖 到 百 潔 珓 孔 攪 詬 犬 搞 㽱
kau3	到 教 夠 較 校 屆 至 挍 筊 詬 斠 音 比 告 酵 勘 窖 滘 佛 珓 覺 餃 鉸 确 漖 𥦁 窌
kau5	猴 𠢕 緱 侯 跳 豪 勾 爻
kau7	厚 齩 方
kauh4	𫏶 浹 轂
kauh8	詬 𠴳 𧪞 觳 諦
ke1	家 雞 加 街 機 假 喈 蛙 傢 圭 稽 葭 焿 嘉 袿 邽 閨 笄 文 過 大 灣 改 基 籠 胿 繼 珈 隆 跏 乩 畦 珪 硅 銈 鮭 刲 奎 暌 睽 枅 嵇
ke2	假 果 粿 解 改 喈 庋 過 計 價 炸 菓 餜 炙 音 架 柚 𦠖 睡 裹 ①
ke3	過 計 價 界 嫁 繼 架 假 髻 解 疥 駕 芥 值 䯻 蕨 瘈 罽 薊 檵 會 格 枷 ② 鱖 稼 䰖
ke5	枷 椵 瘸 㧎 鮭 其 芽 拁 丌 文 膚 㤉 嵇
ke7	低 下 讀 加 落 家 底 語 價 過 藝 偈
kee1	佳 嘉
kee2	繰 㡑
keh4	格 隔 骼 膈 逆 郭 鍥 解 莢 槅 革 殛 蕨
keh8	逆 格 桀 月 椵 竭 㧎
kenn1	更 羹 經 焿 庚 鹹 文 鹼
kenn2	鯁 骾 梗 哽 耞
kenn5	經 繫 拁
kennh8	逆
kha1	骹 腳 尻 奇 跤 下 刮 加 帛 鉤 朴 擖 廉 喀 㬵 咔 呿 硿 川 繳 絞 踔 骻 哈 𪸾 迹 咖 揩 胯 茭 鉲 疴
kha2	巧 卡 佧 栲 喀 㲯 咔 佤
kha3	叩 撽 較 扣 敲 揩 髂 摡 搕
kha5	騎 卡
kha7	髂 卡 疴
khah4	較 恰 籗 卡 讀 咔 加 磕 闔 拤 筁
khah8	蓋 闔 𤻙
khai1	開 揩 擡 奓 鐦 掮 闓
khai2	楷 豈 凱 鎧 肯 咳 欬 剴 愷 回 斂 愾 塏 闓 覬 暨 顗
khai3	概 慨 溉 咳 欬 愾 暨 憤 揩 愒 謦
khainn1	掮 鏗 肩 擡
khainn2	掯
khainn3	鏗
khak4	殼 確 麯 麴 搉 榷 确 愨 去 曲 的 粬 埆 傕 塙
khak8	咯 殼 麯 欬
kham1	堪 嵁 坎 勘 龕 嵌 坩 崁 碪 戡 歁 𢽣 鵮 欿
kham2	坎 憨 砍 歁 莰 闞 嵌 悽 鐋 譀 檻 鑭 紺 欿 轗
kham3	蓋 勘 嵌 崁 坎 憨 闞 瞰 紺 墈 文 戇 摀 儑 淦
kham5	黔 嵌 痷 柑 鵙
kham7	𠻞 鹹 陷 撼 黔 硆
khan1	牽 刊 看 勘 慳 堪 嵌 刋
khan2	看 肯 勘 侃 衎 墈
khan3	看 衎 勘
khan7	呿
khang1	空 孔 工 埪 腔 㾤 功 康 槺 揻 慷 文 讀 按 控 䆲 𥦌 閌 眶 絳
khang2	孔 炕 亢 空 䆲 瓷 閌 眶
khang3	控 空 掐 壙 䆲 槓 曠
khang5	扛 抗
khang7	埪
khann1	硿 坩 缸
khann3	䤝
khann5	含 鉗
khap4	磕 蓋 恰 卡 匼 合 瞌 袷 搕 掐 咔 嗑 溘 榼 鹹 峇 氣 哈 跲 頜 閤 鞈 拤 葜
khap8	磕 搕 叩 摸
khat4	汲 刻 克 渴 缺 刮 級 擖 舀 尅 戛 佧 葜
khat8	竭
khau1	敲 𠞟 摳 鬮 薅 鉤 尻 扣 剾 叩 𨷺 墝 磽 鏂 靠 刮 口 削 礉 芤 彄 毆 撬 敺
khau2	口 巧 銬 供 役 漱
khau3	哭 扣 叩 梏 銬 釦 簆 口 礉 鈕 撽 嚶 敂 墝
khauh8	觳 硞 礉
khaunn5	兩
khaunnh8	礉 愕
khe1	溪 稽 科 開 詼 葵 魁 谿 狹 缺 奎 睽 蝰 嵇 洼
khe2	啟 稽 綮 棨 課 揢 䏿
khe3	課 契 喫 憩 囥 囓 架 齧 揭 啃 瘈 靠 夾 工 咧 科 愒
khe5	椵 瘸 㧎 揢 繫 葵 拁 踔 痂
khe7	下
kheh4	客 揢 夾 缺 瞌 喀 挾 篋 挈 𦙫 𨂰 挌 𥇙 䀹
kheh8	愕 挾 夾 狹 卻 客 逆 喀 竭 㧎 𢭪
khenn1	坑
khenn5	琉
khennh4	喀
khennh8	喀 磕 挾 嗄 咦
khi1	欺 敧 機 攲 欹 犄 蹊 崎 僛 榿 去 起 乞 驅 徛 𤄜 坑 觭 諆
khi2	起 齒 去 豈 企 紀 綺 處 嘰 芑 乞 氣 摀 槊 杞 啃 齦 彊 玘 顗
khi3	去 氣 器 起 乞 棄 汽 齒 企 潔 踦 亟 吱 跂 契 气 落 開 鑱 沈 呵 脾 揭 饞 愾 簀 錁 偈 憩 蚑 氨
khi5	𤷍 蜞 騎 祈 陭 諆
khi7	忌 柿 惧 柹 雉 去 器 懼 忮
khia1	奇 家 敧 腳 欺 迦 單 攲 骹 伽 房 企
khia5	騎 摔 蜈 𧍪 伽
khia7	企 豎 徛 竪 伽 處 嫳
khiah4	隙 𥦌 絳
khiak4	卻 戛 恪
khiak8	劇 嘎 碻 戛
khiam1	謙
khiam2	歉 嗛 慊 敢 欠 膁 歁
khiam3	欠 芡 缺 歉 傔
khiam5	緘 擒 鉗 嵌 箝 黔 拑 鈐 扲 捦
khiam7	儉 芡 欠 傔
khian1	牽 鏲 撁 愆 縴 肯 搴 褰 騫 箍 趼 鏗 慳 岍 汧
khian2	遣 犬 譴 繾 肯 畎
khian3	䭤 譴 見 牽 焮 摼 芡 健 㓺 樫
khian5	虔 乾 墘 攑 圻
khiang1	鏗 腔 羌 䃘
khiang2	講
khiang3	勥 強 倞
khiann1	輕
khiann3	慶
khiann7	企 匼
khiannh4	洘
khiap4	怯 儉 㾀 挾 呿 慊 篋 掐 愜 朅 抾 鷞
khiap8	給 搯
khiat4	戛 詰 㓶 孑 嘎 揭 挈 譎 級 契 𨂰 鍥 愒 頡 恝 咭 吉 桀 蹶 絜 攑 䝟 䵟 劼 拮 訐 袺 鐍 朅
khiat8	硈 碣 戛 偈 擖 蹶 桀 揭 砢 黠 䵟 戞 竭 孑 櫭
khiau1	曲 蹺 蹻 橇 樛 翹 屩 𠞟 竅 撽 撬 礄 鞽
khiau2	巧 竅 撟
khiau3	竅 翹 徼 蹺 噭 𠿕 曲 撬
khiau5	喬 挾 鞽
khiau7	翹 撟
khiauh4	礉 撟
khiauh8	礉 碻
khih4	缺 㗆 幾 頰 規 臞
khih8	㗆 頰 起 臞 碕 癯
khik4	刻 曲 克 剋 客 喀 揢 咳 虢 吃 緙 郄 闃 可 莖 麯 尅 鵙
khim1	襟 欽 矜 衿 衾 禽 嶔
khim2	崟 嫵
khim3	搇 撳
khim5	琴 禽 擒 檎 芩 噙 扲 矜 捦
khin1	輕 鏗 氫
khin2	汱 肯 淺
khin3	睏
khin5	勤 芹 懃 矜
khin7	鏗
khing1	輕 框 傾 筐 卿 銎 氫 坑 硜 眶 肯 莖 鏗 擎 涇 頃 檾
khing2	肯 綮 頃 謦 啃 苘 檾 傾 錹 廎 䯧 顈
khing3	慶 磬 掯 謦 罄 輕 亙 綮
khing5	窮 傾 瓊 框 鯨 擎 惸 煢 嬛 敻
khing7	虹 㮓 共 桕 蝀 瓊
khinn1	坑 虔
khinn3	潔 氣
khinn5	鉗 箝 擒 拑 㨴
khio1	拾
khio2	口 𢭙
khio3	徼 竅 徵 𢭙 叩
khio5	猄
khioh4	拾 𢭙 醵 卻 徼
khioh8	𢭙 抾
khiok4	曲 卻 却 蛐 𢭙 腳 麯 麴 攫 蠼 筁
khiong1	腔 穹 姜 羌 蜣 芎 疆 匡 銎
khiong2	恐 鞏 愒
khiong5	窮 跫
khionn1	腔 艽 羌
khionn2	𩭓
khionn7	儉
khior1	㯂
khior3	徼
khior7	彊
khiorh4	醵 秔 稉
khiorh8	稉
khip4	吸 汲 趿 鈒 泣 㬤 級 給 伋 笈 靸
khip8	扱 趿 及 掐
khirn3	鿃
khirn5	勤 芹
khit4	乞 給 吃 詰 气
khit8	杙 櫭 橛 䊕 揵 榤
khiu1	丘 鳩 樛 艽 坵 龜 勼 鬮 蚯
khiu2	搝 扭 豈 拔 揪 糗
khiu5	𧺤 虬 勼 𧺎 虯 跔 樛 求 毬
khiu7	桕 㮓
khiuh8	𦧊
khiunn1	腔 姜 羌
khiunn5	麕
khiunn7	儉 彊 強 犟
khng1	糠 康 圈
khng2	囥
khng3	囥 勸 藏 曠 放 寬 壙 讒
khng7	呠
khngh8	吭
kho1	科 頦 苛 呵 珂 尻 顆 鈳 柯 砢 坷 疴 軻 稞 窠 蝌 磕 虎 考 棵 箍 搕 洘 蚵 剋 髁
kho2	可 考 洘 拷 栲 烤 客 坷 刻 顆 蚵 寧 岢 𥬯 文 課 憐 沛 克 喀 剋 砢 哿 舸 嗑 錁 薧
kho3	靠 課 犒 𣹇 誥 錁 顆 銬 騍 旁 酷 哿 郜 稞 髁
kho5	科 殼 咳 揢 克 𦙫 遨 頦 瘸 葵 搕 欬 魁
kho7	裸
khoh4	復 擦
khok4	硞 酷 擴 殼 柝 廓 确 涸 磕 梏 告 恪 籗 哭 硌 嚳 觳 額 𥕏 牿 郜 漷 矍 㱿 攫 钁
khok8	磕 硞 柝 涸 榼 叩 敲 确 毃 嗑 咯 喀 汨 梏
khong1	空 悾 康 框 倥 硿 匡 洭 箜 亢 圈 糠 筐 閌 砊 眶 崆 矼 箍 戇 腔 蹌 槺 哐 漮 劻 恇 涳 啌 遒 𢬤
khong2	孔 慷 吭 倥 悾 鞏 骯 空 夯 昆
khong3	抗 控 礦 炕 䆲 匟 曠 壙 亢 閌 擴 吭 空 伉 嗊 鑛 囥 悾 倥 熕 贛 獷 纊 騙 犺 鈧 鞚 頏 𠿕
khong5	狂
khong7	砊 悾 康 誆 啌
khonn2	可
khonn5	齁
khoo1	箍 棵 圈 呼 圓 可 眶 彄 顆 元 䉐 員 枯 摳 挎 骷 塊 骹 苦 框 匡 籸 絡 寧 芤 瞘 刳 𣗺 鏂
khoo2	苦 可 口 許 考 憐 楝 庫 勞 叵 釦 滸
khoo3	褲 庫 怐 寇 叩 袴 佝 蔻 簆 扣 胯 敂 靠 攏 課 跨 帑 釦 稞 鷇
khoo5	糊 楞
khoo7	葛
khooh4	喏 刺 虎 剺
khor1	呼
khor2	苦
